Lower,Upper,ExpirationPut,ExpirationCall,Capital,MaxLossPLUnRealized,MaxLossPLRealized
0.0,0.0,87,19L,8964.0,-9829.0,-4346.0
0.0,0.0,87,230L,5737.0,-9829.0,-5644.0
0.0,0.0,87,32L,8499.0,-9829.0,-7483.0
0.0,0.0,87,372L,5495.0,-9829.0,-2092.0
0.0,0.0,87,3L,10048.0,-9829.0,-4339.0
0.0,0.0,87,53L,10023.0,-9829.0,-7497.0
0.0,0.0,87,6L,9796.0,-9829.0,-4575.0
0.0,0.0,87,87L,11267.0,-9938.0,-5944.0
0.0,0.1,11,11L,4678.0,-10798.0,-5807.0
0.0,0.1,11,142L,14938.0,-10493.0,-5042.0
0.0,0.1,11,19L,7705.0,-10787.0,-5756.0
0.0,0.1,11,230L,8782.0,-8282.0,-3659.0
0.0,0.1,11,32L,9694.0,-10182.0,-4364.0
0.0,0.1,11,372L,10035.0,-8546.0,-2802.0
0.0,0.1,11,3L,3218.0,-10805.0,-6433.0
0.0,0.1,11,53L,11752.0,-10715.0,-5891.0
0.0,0.1,11,6L,3292.0,-10809.0,-6433.0
0.0,0.1,11,87L,12694.0,-10782.0,-6048.0
0.0,0.1,142,11L,6587.0,-7937.0,-5884.0
0.0,0.1,142,142L,6404.0,-11182.0,-7142.0
0.0,0.1,142,19L,10499.0,-8282.0,-5523.0
0.0,0.1,142,230L,7612.0,-10782.0,-6159.0
0.0,0.1,142,32L,11314.0,-7692.0,-4191.0
0.0,0.1,142,372L,5362.0,-8928.0,-3226.0
0.0,0.1,142,3L,6350.0,-7937.0,-6242.0
0.0,0.1,142,53L,8759.0,-8991.0,-7057.0
0.0,0.1,142,6L,5872.0,-7937.0,-6049.0
0.0,0.1,142,87L,11169.0,-9974.0,-5944.0
0.0,0.1,19,11L,4612.0,-10811.0,-6176.0
0.0,0.1,19,142L,12634.0,-10563.0,-4742.0
0.0,0.1,19,19L,9035.0,-10793.0,-6006.0
0.0,0.1,19,230L,11224.0,-7435.0,-3054.0
0.0,0.1,19,32L,7151.0,-10782.0,-5346.0
0.0,0.1,19,372L,12787.0,-7782.0,0.0
0.0,0.1,19,3L,9952.0,-10805.0,-6433.0
0.0,0.1,19,53L,11260.0,-10314.0,-6691.0
